Latitude,Longitude
40.86360892,-73.92717651
40.74457668,-73.99675563
40.82179224,-73.95122017
40.81010796,-73.94508763
40.76567588,-73.97623531
40.86360892,-73.92717651
40.86685084,-73.92359
40.84446561,-73.93828971
40.72355279,-73.97925918
40.821706,-73.94272957
40.70890037,-73.9983372
40.77717631,-73.97609401
40.72390762,-73.983978
40.83805814,-73.94664023
40.73416286,-74.00798156
40.72633784,-74.00040769
40.76910729,-73.96705337
40.73085282,-74.00575495
40.81165574,-73.95063154
40.73609748,-73.98721542
40.79483045,-73.95034426
40.85021124,-73.93033949
40.73103092,-73.98980703
40.85012052,-73.93009741
40.7288026,-74.00263024
40.72282442,-73.99442252
40.78666696,-73.94883727
40.82304781,-73.95421092
40.71941963,-73.98193723
40.72592017,-73.98963463
40.70890037,-73.9983372
40.79692992,-73.96455113
40.74354614,-73.98265606
40.81975333,-73.95220078
40.72444683,-73.97546352
40.7207852,-74.00053392
40.72390762,-73.983978
40.80428264,-73.95548084
40.783356,-73.94705239
40.75094909,-73.97084119
40.73609748,-73.98721542
40.72131647,-73.98334008
40.79826244,-73.96914099
40.72395097,-73.98036663
40.82156144,-73.95063142
40.85462116,-73.92898654
40.82594842,-73.9409229
40.71921777,-74.0063095
40.72115008,-73.99370114
40.82156144,-73.95063142
40.81961499,-73.93831637
40.80981848,-73.94246165
40.72115008,-73.99370114
40.82594842,-73.9409229
40.81759092,-73.94124824
40.76335615,-73.99449493
40.83573892,-73.94113826
40.81961499,-73.93831637
40.86324647,-73.92693468
40.76449114,-73.98165065
40.8631396,-73.92721318
40.73609748,-73.98721542
40.74225897,-73.98348641
40.79013851,-73.9709757
40.86358074,-73.92601964
40.84334542,-73.93763296
40.79279776,-73.96945411
40.79826244,-73.96914099
40.76795806,-73.9836822
40.81961499,-73.93831637
40.76795806,-73.9836822
40.83733075,-73.94656854
40.79907855,-73.96299329
40.72315283,-73.98412971
40.81961499,-73.93831637
40.81928349,-73.93946919
40.73578282,-73.97618103
40.74429047,-73.98638742
40.78783385,-73.94376624
40.74258786,-73.98041167
40.76082282,-73.99624586
40.78073277,-73.9486649
40.83733075,-73.94656854
40.78092527,-73.94950969
40.85201593,-73.93273053
40.83327787,-73.94304123
40.82555089,-73.93661986
40.74089181,-73.98165715
40.81961499,-73.93831637
40.72440004,-73.9998593
40.71708794,-74.00382743
40.85718062,-73.93129378
40.85908872,-73.92768757
40.72040819,-73.98502143
40.83314415,-73.9446169
40.86360892,-73.92717651
40.84960878,-73.93264983
40.86360892,-73.92717651
40.77202126,-73.95601508
40.86360892,-73.92717651
40.86360892,-73.92717651
40.85908872,-73.92768757
40.84446561,-73.93828971
40.86685084,-73.92359
40.72403486,-73.99448014
40.79907855,-73.96299329
40.81928349,-73.93946919
40.71845183,-73.99133851
40.84562089,-73.9329394
40.72394703,-73.99449818
40.81961499,-73.93831637
40.85427984,-73.93192214
40.74244241,-73.98050554
40.84960878,-73.93264983
40.76509339,-73.99150211
40.711634,-73.99391485
40.85901183,-73.9276262
40.86315482,-73.92962818
40.71708794,-74.00382743
40.81621788,-73.9399308
40.711634,-73.99391485
40.74244241,-73.98050554
40.76568266,-73.98364305
40.80981848,-73.94246165
40.74244241,-73.98050554
40.74715371,-73.99121929
40.77574961,-73.9586772
40.76011469,-73.99661049
40.78662815,-73.9422253
40.77428341,-73.9572953
40.7830064,-73.95093805
40.76103422,-73.99879434
40.73303211,-74.00657782
40.79874588,-73.93651174
40.74291879,-73.9949405
40.71823482,-73.98931116
40.86303294,-73.92782428
40.8298149,-73.94480035
40.86343933,-73.92810583
40.82946159,-73.94079692
40.72478137,-73.99330394
40.85001279,-73.93357114
40.86742945,-73.91881683
40.75199026,-74.00269973
40.8499798,-73.93349165
40.76910729,-73.96705337
40.79303973,-73.9711189
40.81884287,-73.95415239
40.84562089,-73.9329394
40.7175186,-73.9912232
40.74011361,-74.00596145
40.79917399,-73.96108258
40.82507804,-73.94589548
40.86685084,-73.92359
40.71536188,-73.97643723
40.82790257,-73.94076217
40.81239472,-73.9521591
40.70761033,-74.00198738
40.85001279,-73.93357114
40.71241628,-73.99436567
40.83748109,-73.9452385
40.82159717,-73.95075785
40.71839174,-73.99777421
40.79004135,-73.97848009
40.8013081,-73.96565767
40.73578282,-73.97618103
40.73189759,-73.98388227
40.71872911,-73.99224756
40.82460032,-73.95177094
40.84446561,-73.93828971
40.8205106,-73.93988718
40.73235062,-73.98494658
40.83320529,-73.94062013
40.7732724,-73.98796286
40.76910729,-73.96705337
40.86309839,-73.92292186
40.77693234,-73.97763583
40.83802605,-73.94269745
40.81961499,-73.93831637
40.85025789,-73.94009525
40.79549317,-73.96975264
40.79035359,-73.94390856
40.81281182,-73.94573927
40.84844871,-73.93929084
40.87744967,-73.91049846
40.85176601,-73.9279341
40.75680445,-73.99463624
40.80000172,-73.96604481
40.85433208,-73.93208114
40.85290948,-73.93065476
40.86315482,-73.92962818
40.85001279,-73.93357114
40.84961933,-73.93673428
40.86096326,-73.92754454
40.82159717,-73.95075785
40.82388692,-73.9523062
40.82391634,-73.94446199
40.82719623,-73.94436531
40.74473063,-73.97578807
40.8259588,-73.95139417
40.80000172,-73.96604481
40.79826121,-73.93863593
40.81164202,-73.95064239
40.72355279,-73.97925918
40.80023138,-73.95534991
40.81164202,-73.95064239
40.82448173,-73.94441816
40.82448173,-73.94441816
40.83802605,-73.94269745
40.82460032,-73.95177094
40.83255063,-73.94325867
40.73189759,-73.98388227
40.78662815,-73.9422253
40.82513813,-73.95139477
40.81537203,-73.9573448
40.8245613,-73.94436028
40.79621882,-73.93805995
40.85623771,-73.92886552
40.85847723,-73.92860646
40.8080792,-73.95023684
40.7949497,-73.96970232
40.71162303,-73.99402307
40.7129947,-73.98586356
40.85025789,-73.94009525
40.83255063,-73.94325867
40.76264777,-73.99086348
40.84338211,-73.93953401
40.86315482,-73.92962818
40.85427984,-73.93192214
40.83648717,-73.94454184
40.83648717,-73.94454184
40.79916755,-73.93001006
40.84322273,-73.93917635
40.79713797,-73.9427182
40.82460032,-73.95177094
40.8450841,-73.93499288
40.84777109,-73.9348529
40.80760279,-73.94108006
40.78332852,-73.9469838
40.86027674,-73.92699579
40.82448149,-73.94986687
40.85025789,-73.94009525
40.80189077,-73.96842414
40.81091345,-73.93687945
40.86203387,-73.923563
40.84961933,-73.93673428
40.81928159,-73.95305376
40.82312038,-73.95049658
40.73322706,-74.00529691
40.77560955,-73.97854613
40.81383011,-73.95192686
40.80866492,-73.93578704
40.81998411,-73.95274978
40.84066617,-73.93688374
40.79013851,-73.9709757
40.77627677,-73.95205146
40.82460032,-73.95177094
40.8234803,-73.95134901
40.71375771,-73.98562172
40.71139681,-73.98265
40.7249841,-73.98843338
40.7144247,-73.98570093
40.71441374,-73.98582719
40.71439455,-73.98604723
40.72392513,-74.0041453
40.86309839,-73.92292186
40.82347754,-73.95131649
40.82397401,-73.95055014
40.82344812,-73.9531809
40.80040399,-73.93220479
40.78332852,-73.9469838
40.86297033,-73.92434644
40.7625269,-73.98966142
40.86758226,-73.92149214
40.8449349,-73.933269
40.85623771,-73.92886552
40.8449349,-73.933269
40.85847723,-73.92860646
40.75011283,-73.99632948
40.8563462,-73.92679405
40.73578282,-73.97618103
40.8425714,-73.937612
40.73578282,-73.97618103
40.8425714,-73.937612
40.7468027,-74.00208238
40.83111733,-73.94789609
40.81918541,-73.95276841
40.85847723,-73.92860646
40.72701613,-73.97644032
40.84752393,-73.93964229
40.7890383,-73.94277212
40.73030115,-73.99470332
40.86499305,-73.92415614
40.86482555,-73.92404786
40.86499305,-73.92415614
40.8227338,-73.94536626
40.7890383,-73.94277212
40.86499305,-73.92415614
40.73138257,-74.00556016
40.82309977,-73.94734233
40.71271446,-73.98379673
40.71487,-73.99260512
40.81918541,-73.95276841
40.8227338,-73.94536626
40.86504797,-73.92419223
40.86027674,-73.92699579
40.79029759,-73.94168402
40.79748898,-73.93685606
40.85567264,-73.92941921
40.85567264,-73.92941921
40.82271066,-73.93762339
40.74029535,-73.97695166
40.85567264,-73.92941921
40.86109041,-73.92897963
40.76274965,-73.99691358
40.81010796,-73.94508763
40.73102033,-73.99616456
40.72349181,-73.97616377
40.82025397,-73.95494989
40.86109041,-73.92897963
40.83559983,-73.94874182
40.82056549,-73.93987268
40.76362248,-73.99701462
40.8205106,-73.93988718
40.77682269,-73.95137949
40.86109041,-73.92897963
40.86649302,-73.9181238
40.82857812,-73.94143367
40.76362248,-73.99701462
40.86105745,-73.92893629
40.73578282,-73.97618103
40.81157163,-73.94664702
40.72349181,-73.97616377
40.72599199,-74.00132408
40.80213477,-73.94006632
40.79733823,-73.97217166
40.86297483,-73.92284247
40.81673625,-73.93919333
40.76362248,-73.99701462
40.72532052,-73.97987918
40.72842595,-73.98778334
40.77786272,-73.957766
40.81385722,-73.95111761
40.82593409,-73.95138335
40.72251864,-73.98306559
40.72251864,-73.98306559
40.72246649,-73.98310168
40.83406283,-73.9429719
40.80133264,-73.9501877
40.72454277,-74.00082257
40.85717578,-73.93239997
40.72267233,-73.98296454
40.79733823,-73.97217166
40.80122564,-73.95027808
40.80122564,-73.95027808
40.73578282,-73.97618103
40.74429047,-73.98638742
40.81385722,-73.95111761
40.86504797,-73.92419223
40.72354594,-74.01058507
40.80972721,-73.95303522
40.73578282,-73.97618103
40.82030361,-73.95553877
40.80261207,-73.95108614
40.83889386,-73.93829849
40.86504797,-73.92419223
40.86297483,-73.92284247
40.80238678,-73.95056979
40.8272352,-73.93998228
40.86297483,-73.92284247
40.85406428,-73.92947875
40.82533758,-73.93805091
40.86698562,-73.91997795
40.85228149,-73.93157717
40.80210897,-73.95585794
40.85567264,-73.92941921
40.78690123,-73.97770831
40.87263075,-73.9189515
40.78931128,-73.96701809
40.80866492,-73.93578704
40.83320462,-73.94480477
40.83320462,-73.94480477
40.71959811,-73.98236287
40.83313867,-73.94464943
40.75758919,-73.99061873
40.7716229,-73.95504777
40.84319426,-73.93727168
40.83320462,-73.94480477
40.80237304,-73.95053729
40.829999,-73.9452302
40.71181802,-73.99687626
40.76362248,-73.99701462
40.80133264,-73.9501877
40.81453265,-73.95166624
40.85490711,-73.93448081
40.78092527,-73.94950969
40.80669795,-73.94291226
40.85023581,-73.93986032
40.75469369,-73.99352471
40.8272352,-73.93998228
40.8657062,-73.92343585
40.74224368,-73.99888129
40.83067777,-73.93617051
40.83314415,-73.9446169
40.85567264,-73.92941921
40.8657062,-73.92343585
40.74430497,-73.97472722
40.80796067,-73.94907738
40.81401419,-73.95236747
40.7541306,-73.98833448
40.83055445,-73.94742677
40.73413951,-73.98039972
40.84446561,-73.93828971
40.82309977,-73.94734233
40.79933026,-73.9532087
40.76002338,-73.98659357
40.82179224,-73.95122017
40.73474994,-73.9885255
40.78006594,-73.94897956
40.83036226,-73.93640208
40.74373861,-73.98508114
40.76387031,-73.9669982
40.81918541,-73.95276841
40.73578282,-73.97618103
40.78646091,-73.94839687
40.74597929,-74.00013714
40.80428264,-73.95548084
40.76092705,-73.99452762
40.85506629,-73.93444812
40.78666696,-73.94883727
40.71959811,-73.98236287
40.83055445,-73.94742677
40.84204591,-73.9353428
40.72059033,-73.97490938
40.85455791,-73.92879502
40.76438529,-73.96357211
40.83850963,-73.94373786
40.82046858,-73.9436375
40.81360867,-73.9476533
40.76976059,-73.95163736
40.8180643,-73.9384587
40.82039153,-73.955788
40.83067777,-73.93617051
40.79156683,-73.93866016
40.82575561,-73.93961868
40.85567264,-73.92941921
40.86582691,-73.9276007
40.80038327,-73.95089273
40.75979023,-73.98792559
40.85406428,-73.92947875
40.80038327,-73.95089273
40.82036132,-73.95571938
40.73578282,-73.97618103
40.80038327,-73.95089273
40.85712301,-73.93134806
40.70740416,-74.00859874
40.80038327,-73.95089273
40.79317244,-73.93855756
40.79713797,-73.9427182
40.72349181,-73.97616377
40.86225027,-73.92291562
40.71708794,-74.00382743
40.83055445,-73.94742677
40.80038327,-73.95089273
40.82256473,-73.94773658
40.82153653,-73.95698316
40.84701386,-73.93540303
40.72008066,-73.97920254
40.77395762,-73.95961342
40.79713797,-73.9427182
40.79788508,-73.9497641
40.82153653,-73.95698316
40.82849935,-73.93778057
40.74375601,-73.99692528
40.83094408,-73.94716629
40.86309359,-73.92396669
40.82851327,-73.94940854
40.75425053,-73.9689773
40.76070022,-73.95875873
40.80331464,-73.94483316
